Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
127459,-0.489190215,0.783289483,-1.659096979,-1.366814275,2.576846491,3.513254426,0.271305051,1.304641246,-0.238853401,-0.730978701,-0.451648858,0.280989219,-0.341062003,0.781811532,0.079439215,-0.669977101,-0.057891684,-0.515120085,0.411774757,0.055555422,-0.058455541,-0.214895687,0.222998204,0.675949678,-0.632860195,-0.530017316,0.345872332,0.221293505,53.7,0
128505,1.293555957,-1.302381313,-2.241084743,0.393973767,0.680825186,0.821661971,0.501478337,0.104207728,0.111651005,0.087403306,0.899220419,0.616466088,-0.669650904,0.95934024,0.391293893,-0.673217266,0.067626647,-1.040020346,-0.740516428,0.358657642,0.359431644,0.443179333,-0.230090912,-1.583791007,-0.15725714,0.477317073,-0.104101061,-0.039292165,347.9,0
128393,-0.755893988,0.121305238,0.852314001,-2.303416071,-0.233669766,-0.244191082,-0.285440423,0.424009186,-1.072689091,-0.548952949,-1.36849377,-0.322030555,1.18961402,-0.518428881,-0.626943558,1.518541075,-0.160519649,-0.993211873,-0.074787419,0.065289897,0.438708702,1.034432941,-0.232698085,0.531212578,0.100622757,-0.203574588,-0.0076931,0.050117088,24.99,0
128738,2.038750058,-0.159487502,-1.096570367,0.425224028,-0.214944413,-1.151940331,0.107111603,-0.250273438,0.701067466,0.092863071,-0.872903926,-0.109839334,-1.007940432,0.495529457,0.205621711,-0.112675021,-0.170367752,-0.825894143,0.079154965,-0.284541384,-0.291320271,-0.766838367,0.353433075,-0.042129183,-0.352271333,0.203877802,-0.075909556,-0.061540404,8.99,0
140293,0.951025219,3.252926365,-5.03910474,4.63241098,3.01450128,-1.349570138,0.980940272,-1.819539456,-2.099048905,-1.347556715,2.68057818,-1.462945176,-0.705397068,-7.445295834,-0.561331522,3.139655659,5.665429068,3.790316212,-1.909798619,-0.381443722,1.404524058,-0.760549175,0.358292342,-1.185941564,-1.286176716,0.000365303,0.169661962,0.108275693,0.77,1
128647,2.096504476,0.143862353,-2.560546538,0.113794153,0.98302209,-1.109875222,0.867249764,-0.393803182,0.02809096,0.146776597,0.854358726,0.600603789,-1.049946275,1.258276082,-0.58399537,-0.973347683,-0.261204008,0.079306075,0.366643016,-0.306593031,0.349471417,1.155208117,-0.19483838,0.751120357,0.851301323,-0.243090442,-0.061610241,-0.086747919,1,0
128615,-1.224767486,0.983052138,0.810437611,-0.28975428,-0.255409484,0.135907673,0.163774427,0.244754817,0.202203553,-0.497703187,-1.719189265,0.357152209,1.268340141,-0.367718797,0.14213137,0.282612631,-0.546883895,0.374306344,0.379806306,-0.232627326,0.309465952,0.926537903,-0.199168292,-0.563746312,-0.071380972,0.495294892,-0.51232684,0.131614663,46,0
122608,-2.003459531,-7.159041717,-4.050976316,1.309579747,-2.058101588,-0.098620927,2.880082727,-0.727484047,1.460380551,-1.531607982,-1.394328262,-0.220718798,-1.530990431,1.075247654,0.388383209,-0.660655352,0.093320996,0.335742222,0.057551039,3.973217027,1.244286775,-1.015232287,-1.800984866,0.657585627,-0.435617247,-0.894508922,-0.397557387,0.314261714,2125.87,1
128663,1.608223038,-0.560864725,-2.568978057,1.040959755,0.966192655,-0.154630278,0.897462561,-0.228507878,-0.255297879,0.443429293,0.10624305,0.071198071,-0.960556309,1.197699176,-0.234458901,0.06018829,-0.88273634,0.445598103,0.071697369,0.214721248,0.259265609,0.192625705,-0.286980238,-0.129518488,0.43007546,-0.506880908,-0.091494733,-0.034241134,250.98,0
128508,-0.666510041,1.134050239,-0.07795058,0.199858354,1.502037196,-0.698331051,0.963394517,-0.115842184,-0.453644242,-1.804320184,-0.94095069,-0.837350934,-0.204277779,-2.708478085,-0.041743723,0.094233886,2.17140037,1.035736111,0.808245654,0.204331601,-0.028741306,0.093526898,-0.684164884,-0.838942931,0.979864964,1.036869816,0.006936782,0.094498636,12.31,0
127456,0.16573906,-0.114604455,0.2816224,-2.034317061,-0.215771544,-0.969631825,0.224118035,-1.145148237,-1.153908769,-0.100058373,-0.670821249,-0.396068426,0.346832196,-0.033896997,-0.495087666,1.13373631,0.012884847,-1.993791995,-0.203512776,-0.021917373,0.714397975,-0.696137364,-0.240997357,-0.093161195,0.984400354,-0.398644536,0.087511947,0.20809795,82.06,0
